         8	    0.000001541
        16	    0.000001048
        32	    0.000001026
        64	    0.000001020
       128	    0.000001059
       256	    0.000001155
       512	    0.000001653
      1024	    0.000002157
      2048	    0.000003197
      4096	    0.000004515
      8192	    0.000004409
     16384	    0.000006824
     32768	    0.000011460
     65536	    0.000020669
    131072	    0.000039412
    262144	    0.000075068
    524288	    0.000146778
   1048576	    0.000293797
   2097152	    0.000585029
   4194304	    0.001183142
   8388608	    0.002299545
  16777216	    0.003182088
  33554432	    0.004838706
  67108864	    0.008003404
 134217728	    0.014442076
 268435456	    0.027198945
 536870912	    0.052758882
1073741824	    0.103773717
